Cup,CupNumber,Date,Cup_Date,Larva,um,Eyes
A1,1,50418,A1_050418,1,158.096,
A1,1,50418,A1_050418,2,141.005,
A1,1,50418,A1_050418,3,159.98,
A1,1,50418,A1_050418,4,156.479,
A1,1,50418,A1_050418,5,156.902,
A1,1,50418,A1_050418,6,175.296,
A1,1,50418,A1_050418,7,171.867,
A1,1,50418,A1_050418,8,148.262,
A1,1,50418,A1_050418,9,158.02,
A1,1,50418,A1_050418,10,151.369,
A1,1,50418,A1_050418,11,156.681,
A1,1,50418,A1_050418,12,158.313,
A1,1,50418,A1_050418,13,147.019,
A1,1,50418,A1_050418,14,148.106,
A1,1,50418,A1_050418,15,158.963,
A1,1,50418,A1_050418,16,148.979,
A1,1,50418,A1_050418,17,156.938,
A1,1,50418,A1_050418,18,142.316,
A1,1,50418,A1_050418,19,156.476,
A1,1,50418,A1_050418,20,148.068,
A1,1,50418,A1_050418,21,162.254,
A1,1,50418,A1_050418,22,168.008,
A1,1,50418,A1_050418,23,164.73,
A1,1,50418,A1_050418,24,146.082,
A1,1,50418,A1_050418,25,160.299,
A1,1,50418,A1_050418,26,165.1,
A1,1,50418,A1_050418,27,167.067,
A1,1,50418,A1_050418,28,154.744,
A1,1,50418,A1_050418,29,150.249,
A1,1,50418,A1_050418,30,162.551,
A1,1,50418,A1_050418,31,146.37,
A1,1,50418,A1_050418,32,150.036,
A1,1,50418,A1_050418,33,164.966,
A1,1,50418,A1_050418,34,152.003,
A1,1,50418,A1_050418,35,162.744,
A1,1,50418,A1_050418,36,144.752,
A1,1,50418,A1_050418,37,157.693,
A1,1,50418,A1_050418,38,154.143,
A1,1,50418,A1_050418,39,159.396,
A1,1,50418,A1_050418,40,141.706,
A1,1,50418,A1_050418,41,169.149,
A1,1,50418,A1_050418,42,141.421,
A1,1,50418,A1_050418,43,159.315,
A1,1,50418,A1_050418,44,162.32,
A2,2,50418,A2_050418,1,158.096,
A2,2,50418,A2_050418,2,141.005,
A2,2,50418,A2_050418,3,159.98,
A2,2,50418,A2_050418,4,156.479,
A2,2,50418,A2_050418,5,156.902,
A2,2,50418,A2_050418,6,175.296,
A2,2,50418,A2_050418,7,171.867,
A2,2,50418,A2_050418,8,148.262,
A2,2,50418,A2_050418,9,158.02,
A2,2,50418,A2_050418,10,151.369,
A2,2,50418,A2_050418,11,156.681,
A2,2,50418,A2_050418,12,158.313,
A2,2,50418,A2_050418,13,147.019,
A2,2,50418,A2_050418,14,148.106,
A2,2,50418,A2_050418,15,158.963,
A2,2,50418,A2_050418,16,148.979,
A2,2,50418,A2_050418,17,156.938,
A2,2,50418,A2_050418,18,142.316,
A2,2,50418,A2_050418,19,156.476,
A2,2,50418,A2_050418,20,148.068,
A2,2,50418,A2_050418,21,162.254,
A2,2,50418,A2_050418,22,168.008,
A2,2,50418,A2_050418,23,164.73,
A2,2,50418,A2_050418,24,146.082,
A2,2,50418,A2_050418,25,160.299,
A2,2,50418,A2_050418,26,165.1,
A2,2,50418,A2_050418,27,167.067,
A2,2,50418,A2_050418,28,154.744,
A2,2,50418,A2_050418,29,150.249,
A2,2,50418,A2_050418,30,162.551,
A2,2,50418,A2_050418,31,146.37,
A2,2,50418,A2_050418,32,150.036,
A2,2,50418,A2_050418,33,164.966,
A2,2,50418,A2_050418,34,152.003,
A2,2,50418,A2_050418,35,162.744,
A2,2,50418,A2_050418,36,144.752,
A2,2,50418,A2_050418,37,157.693,
A2,2,50418,A2_050418,38,154.143,
A2,2,50418,A2_050418,39,159.396,
A2,2,50418,A2_050418,40,141.706,
A2,2,50418,A2_050418,41,169.149,
A2,2,50418,A2_050418,42,141.421,
A2,2,50418,A2_050418,43,159.315,
